"","text","cluster"
"0","площадка нефтебаза хранение перевалка нефтепродукт морской транспорт обход технологический площадка нарушение область охрана окружающий среда выявить","0"
"1","комплекс очистный сооружение локальный панель отличаться фактический запланировать промывка идти неправильный","0"
"2","комплекс водоснабжение истекать срок поверка манометр закрепить участок","0"
"3","товарносырьевой база резиновый рукав дозировать установка дозировать устройство лежать возле дренаж резервуар","0"
"4","лаборатория испытание газ сера обнаружить мелкий мусор производственный ниша рабочий комната","0"
"5","комплекс производство сера размещение использовать профлист замять непригодный использование","0"
"6","комплекс водоснабжение актуализировать карта обход","0"
"7","товарносырьевой база обход островок обнаружить посторонний предмет","0"
"8","комплекс элоуавт позиция нарушить защита кабель металлорукав","0"
"9","управление сервис кипиа обозначить шкаф кипа","0"
"10","управление организация налив нефтепродукт посторонний предмет закрепить территория","1"
"11","управление организация налив нефтепродукт ящик тбо сортировка отход соответствовать класс опасность","1"
"12","управление организация налив нефтепродукт ящик тбо сортировка отход соответствовать класс опасность","1"
"13","теплоэнергетический комплекс специальный табличка обновить информация дата следующий технический освидетельствование ёмкость указать дата","1"
"14","управление организация налив нефтепродукт установить манометр истекший срок поверка","1"
"15","управление оперативный работа санитарный комната раковина мытьё рука обеспечить подводка горячий вода отсутствие комната приём пища предусмотреть выделение помещение цель раковина мытьё рука подводка горячий холодный водыприложение письмо роспотребнадзор","1"
"16","управление организация налив нефтепродукт отсутствовать обозначение место хранение усилитель открывание зкл","1"
"17","управление организация налив нефтепродукт обновить однолинейный схема утвердить установить порядок","1"
"18","управление оперативный работа провести окраска тормозной башмак тсб","1"
"19","управление организация налив нефтепродукт ход проверка нарушение выявить","1"
"20","теплоэнергетический комплекс течь сальниковый уплотнение выкидной задвижка насос н","2"
"21","теплоэнергетический комплекс отсутствовать табличка номер выкидной задвижка насос н","2"
"22","теплоэнергетический комплекс рабочий манометр выкида насос н","2"
"23","управление организация налив нефтепродукт пропуск вода сальниковый уплотнение зкл","2"
"24","товарносырьевой база посторонний предмет прокладка заглушка шпилька западный сторона насосный тит","2"
"25","комплекс каталитический крекинг неисправный устройство доводчик самозакрывание противопожарный дверь здание компрессорный западный снятой предусмотренный проект противопожарный помещение операторный помещение комната приём пища место размещение огнетушитель отсутствовать знак пожарный безопасность помещение склад негорючий материал ой этаж допустить эксплуатация светильник снятой колпак рассеиватель предусмотренный конструкция светильник помещение склад негорючий материал ый этаж контроллерный венткамера контроллерный разместить неисправный огнетушитель овп истечь срок зарядка общий точка взрыв обозначить место расположение точка подключение противопожарный оборудование передвижной пожарный техника пожарный знак подключение пожарный техника сухотруб лс выявить пропуск водород сальниковый уплотнение задвижка линия нагнетание компрессор пропуск водород сальниковый уплотнение задвижка линия нагнетание компрессор пропуск водород сальниковый уплотнение задвижка линия всас компрессор пропуск водород сальниковый уплотнение задвижка линия всас компрессор пропуск газ пробоотборник исходный газ р пропуск раствор международный энергетический агентство пробоотборник исходный газ р пропуск газ резьбовой соединение импульсный трубка датчик давление поза нагнетание компрессор вр","2"
"26","комплекс атмосферновакуумный переработка нефть негерметичность резьбовой соединение дренажный линия н негерметичность фланцевый соединение диафрагма линия клапанный сборка пропуск нефтепродукт сальниковый уплотнение задвижка байпас линия крекингостаток","2"
"27","управление организация налив нефтепродукт отсутствовать контргайка разрывный болт предохранительный муфта","2"
"28","площадка производство нефтепродукт подтекание фланец сальник задвижка","2"
"29","теплоэнергетический комплекс отсутствовать шпонка маховик задвижка пара эстакада","2"
"30","комплекс облагораживание моторный топливо старый паронитовый прокладка насос н","3"
"31","комплекс водоснабжение засор картер насос н б","3"
"32","комплекс гидроочистка дизельный топливо каталитический риформирование бтуцн низкий уровень масло","3"
"33","комплекс облагораживание моторный топливо посторонний предмет площадка обслуживание ёмкость метанольный блок","3"
"34","комплекс атмосферновакуумный переработка нефть газофракционирование лестница помещение венткамера","3"
"35","комплекс переработка вторичный сырьё недостаточный освещение блок дббф отметка возле ёмкость","3"
"36","комплекс очистный сооружение минимальный уровень маслёнка нд","3"
"37","комплекс очистный сооружение забитый воронка бпра","3"
"38","комплекс очистный сооружение забитый фильтр вход приготовление флокулянт","3"
"39","комплекс очистный сооружение загрязнение пол блок отвод избыточный ил","3"
"40","комплекс атмосферновакуумный переработка нефть газофракционирование место складирование бочка деэмульгатор скопиться крышка использовать бочка","4"
"41","комплекс производство сера отложение задвижка дозировать установка дозировать устройство отметка","4"
"42","теплоэнергетический комплекс пропуск дренажный шаровой кран сброс конденсат ящик кипа","4"
"43","комплекс производство сера венткамера оставить мешок мусор пылесос","4"
"44","комплекс элоуавт возле клемной коробка каталитический крекинг","4"
"45","комплекс очистный сооружение отсутствовать наименование технологический позиция насос","4"
"46","комплекс очистный сооружение отсутствовать стрелка направление вращение крышка электродвигатель насос","4"
"47","товарносырьевой база посторонний предмет вентиляционный камера","4"
"48","товарносырьевой база выполнение работа сизый представитель подрядный организация нипт проведение работа сонация трубопровод ад","4"
"49","товарносырьевой база посторонний предмет обвалование ёмкость","4"
"50","комплекс производство сера площадка обслуживание ёмкость выполнение газоопасный работа валяться использовать прокладка","5"
"51","комплекс гидроочистка дизельный топливо каталитический риформирование работа выявить сотрудник подрядный организация находиться территория установка использовать средство индивидуальный защита очки","5"
"52","комплекс каталитический крекинг накопление отход южный установка находиться неудовлетворительный состояние загрязненозахламить накопление отход площадка открыть закрытый ворота указать неактуальный сведение ответственный са рублис нарушение постановление правительство москва пп сто временной регламент требование обустройство место накопление отход производство потребление газпромнефтьмнпз приложение фото","5"
"53","управление организация налив нефтепродукт ящик хранение чистый ветошь находиться использовать обтирочный материал","5"
"54","комплекс гидроочистка дизельный топливо каталитический риформирование проводиться наблюдение выполнение технологический операция отбор проба ход наблюдение никакой нарушение промышленный безопасность охрана труд охрана окружающий среда обнаружить","5"
"55","комплекс каталитический крекинг допускаться эксплуатация трубопровод нарушение правило безопасность трубопровод съехать опора качество подкладка опора применить нестандартный изделие","5"
"56","комплекс каталитический крекинг помещение мпу компрессорный секция организовать место постоянный пребывание персонал допускаться хранение посторонний материал допускаться хранение документация","5"
"57","управление организация налив нефтепродукт работать освещение ру кв работать выключатель","5"
"58","комплекс гидроочистка дизельный топливо каталитический риформирование обход место огнев работа обнаружить отсутствие искросдерживать щит дать указание подрядчик устранение","5"
